,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Three cheers from the anti crowd!,abortion,support,"RTL backed three bills that were recently passed in the Georgia Senate:
One requires an ultrasound prior to abortion.
Another protects pharmacists if they refuse to fill prescriptions for drugs that end pregnancies.
The third allows prosecutors to charge people with causing the death of a fetus, REGARDLESS OF THE STAGE OF PREGNANCY.
*******************
I think the first will make legal abortions more expensive and will add to the number of backroom botchjobs, the second will have little affect on anything, the third will renew the argument relating to when life begins.",0,1,topic_stance_votes_2
1,Three cheers from the anti crowd!,abortion,support,"Quite a number of egg meeting sperm do not make it through a pregnancy.
Will women be forced every menstrual period to turn over their soiled tampons and sanitary pads over to the Women Control Police to make sure they didn't have a fertilized egg that failed to make it through a pregnancy?",1,2,topic_stance_votes_2
2,Three cheers from the anti crowd!,abortion,support,That's an interesting concept...TWAT COPS!,2,3,topic_stance_votes_2
3,Three cheers from the anti crowd!,abortion,support,"Did the bill include burning heretics at the stake, stoning them out of the village or removing a women's right to vote?",1,4,topic_stance_votes_2
4,Three cheers from the anti crowd!,abortion,support,Only if an MRI scan if carried out first.,4,5,topic_stance_votes_2
5,Three cheers from the anti crowd!,abortion,support,"I dismiss the second and third as irrelevant. The pharmacy thing is ridiculous IMO but I can respect someone's personal views getting in the way. I don't understand if the third means that by abortion you can be charged with causing the death of a fetus, or if by kicking someone in the stomach you get charged with the death of a fetus. I thought that was already in place? But the first...I don't understand if there is any logical thinking behind it. Anyone help? emoticonXConfused",1,6,topic_stance_votes_2
6,Three cheers from the anti crowd!,abortion,support,"The second one I don't know where I stand on, I can understand the reasoning as I'm pretty sure that there isn't a set list of drugs a pharmacy must carry, if there were (basic antibiotics, contraception, asthma medication and possibly anti nausea stuff - stuff that is needed everyday and urgently) I would assume that the government would be providing them. Makes sense from a NHS point of view, but without nationalised health care it does seem a bit odd.
The first I think is there for the 'ooh look at the baby!' aspect, tagged on as one of those 'good idea at the time' amendments. Unless of course it was standard practise for everyone with a means to alerted the parent if something has gone wrong with development, the rare cases where a heart or brain doesn't form and the death of the baby is unpreventable. Or as a way of ensuring that the fetus hasn' reached a certain stage of development - though then it would make sense just to have it over the period of weeks that this stage would fall under.
The third is probably to stop people getting abortions, and to clear up the occasionaly wierdness that happens when an injury causes a miscarriage but the other was going to abort - same sort of thing as having it still being illegal to shoot people as they comit suicide.",6,7,topic_stance_votes_2
7,Three cheers from the anti crowd!,abortion,attack,"No, that's just the pork tacked onto the original bill. :p",4,8,topic_stance_votes_1
8,Three cheers from the anti crowd!,abortion,support,"How could a citizen living under that legislation possibly consider being subjected to public registration as a candidate for abortion by a medical procedure when only illegal practitioners (no. 3) could perform the abortion? Almost resembles other attempts at using Federal Interstate Commerce Legislation, federally controlled legal and illegal drugs, to stamp out the wave of moral crime perceived by current administration and supportive states. I read no logic behind the legislation other than reaffirmation of evangelical belief system support required to hold high office in the US State of Georgia.",6,9,topic_stance_votes_2
9,Three cheers from the anti crowd!,abortion,support,"I spent some time in Augusta. I'm not the least bit suprised.
What the **** is RTL? 
Rifle totin' lunatics?",9,10,topic_stance_votes_2
10,Three cheers from the anti crowd!,abortion,support,"I thought it was just good practice to do an ultra sound before an abortion, so you could identify how far a long the fetus is and whether or not the fetus was in the fallopian tubes….",10,11,topic_stance_votes_2
11,Three cheers from the anti crowd!,abortion,support,"I think most places perform ultra-sounds pre-abortion, I believe that to be common practice. I had an ultra-sound last Saturday (8/12/2006), I'm having my abortion in a few days. 
The cost of my ultra-sound was $100 and was deducted from the total cost of abortion. 
Jim Trucking: you say that the cost of ultra-sounds will lead to an increase in ""backroom botchjobs"", that may be true but is it really for the best? Backroom botchjobs not only harm the unborn child but also the mother. How is it logical to harm both child and mother? Seems irresponsible to me.",11,12,topic_stance_votes_2
12,Three cheers from the anti crowd!,abortion,support,I believe that was his point Aivlis.,12,13,topic_stance_votes_2
13,Three cheers from the anti crowd!,abortion,support,I predicted a consequence. I did not express agreement with the practice.,12,14,topic_stance_votes_2
14,Three cheers from the anti crowd!,abortion,support,"Excuse me Jim but aren't you pro-life? I suppose I was just assuming that you agreed or were happy with the bills. Your post title was ""three cheers for the anti crowd"", so sue me if I assumed that you wanted backroom botchjobs to deter from abortions or to ""punish"" the mother.",14,15,topic_stance_votes_2
15,Three cheers from the anti crowd!,abortion,support,"Please pay attention.
The thread title is 
THREE CHEERS FROM THE ANTI CROWD
I am not cheering with them, just reporting.
I am pro-choice for the first three months of gestation regardless of the reason for pregnancy, anti-choice after three months, pro-abortion for incest and rape (underaged mothers being covered under statutory rape).
There is no need for me to sue you. I don't really care what you think of me.
emoticonXLove Love,
JimemoticonXAngel 
emoticonXHoho",15,16,topic_stance_votes_2
16,Three cheers from the anti crowd!,abortion,support,"my apologies, one little word does make quite the difference.",16,17,topic_stance_votes_2
17,Three cheers from the anti crowd!,abortion,support,The driving force behind my signature line...emoticonXGood,17,18,topic_stance_votes_2
18,Three cheers from the anti crowd!,abortion,attack,"Isn't calling a woman having an abortion a ""mother"" a little hypocritical? emoticonXConfused",12,19,topic_stance_votes_1
19,Three cheers from the anti crowd!,abortion,attack,"No. 
First of all that is what she is - regardless of how short the relationship or whatver the reason it ends. Secondly - there are even mothers, good ones, with wonderful children, who may choose to abort later in life.",19,20,topic_stance_votes_2
20,Three cheers from the anti crowd!,abortion,attack,"[quote]
http://dictionary.reference.com/browse/mother
Mother:
1. A woman who conceives, gives birth to, or raises and nurtures a child.
2. A female parent of an animal.
3. A female ancestor.
4. A woman who holds a position of authority or responsibility similar to that of a mother: a den mother.
5. Roman Catholic Church.
1. A mother superior.
2. Used as a form of address for such a woman.
6. A woman who creates, originates, or founds something:",20,21,topic_stance_votes_1
21,Three cheers from the anti crowd!,abortion,attack,"JPSartre12: So basically you're discounting the posibility of the woman not being a mother before-hand, as Jitobear explains. Even if she has never given birth or been pregnant before, she could still have had adopted. I think that it is close-minded of you JPSartre to discount the fact that she could be a mother. Besides that I do see your point but think it's a little nit-picky.",21,22,topic_stance_votes_2
22,Three cheers from the anti crowd!,abortion,attack,"[QUOTE=JPSartre12;228015]
Even a mother who has aborted conceives. Thanks.",21,23,topic_stance_votes_2
23,Three cheers from the anti crowd!,abortion,support,Blast! Sartre! You mean that women who adopt children cannot call themselves mothers?,23,24,topic_stance_votes_2
24,Three cheers from the anti crowd!,abortion,attack,"Wow. At least I could wrap my mind around the concept of someone who didn't want a baby, and therefore aborted it, because they don't want to be a mother. But someone who calls herself a mother and doesn't want the baby . . . holy cow. 
I agree with JP here--he never said she ""wasn't"" a mother, he said it was hypocritical, and it is--because the aborting woman doesn't want to be a mother. And regarding your second example, a mother who has a had an abortion (or would) and doesn't regret it sure wouldn't be raising MY children. I flat out wouldn't trust such a person with my kids.",20,25,topic_stance_votes_1
25,Three cheers from the anti crowd!,abortion,attack,And I would never trust a militant pro-lifer with a daughter.,25,26,topic_stance_votes_2
26,Three cheers from the anti crowd!,abortion,attack,"Many women who already have children choose to have abortions. It hardly makes you an unfit parent to have more of an emotional attachment to your born child(ren) than any unborn ones. I would have an abortion if I were to get pregnant again, and while I may feel bad about having to do that (let's face it, there are no completely painless options for me) I certainly would not ever regret having done the best thing for my family. So according to you that makes me an ogre who shouldn't be trusted with children. I guess that's why I'd never become sexually involved with a pro-lifer.",25,27,topic_stance_votes_2
27,Three cheers from the anti crowd!,abortion,attack,"Are you capable of reading? 
Mother:
1. A woman who conceives, gives birth to, or raises and nurtures a child.
Now what part of that definition is beyond your comprehension? emoticonXCensored",24,28,topic_stance_votes_1
28,Three cheers from the anti crowd!,abortion,attack,"[QUOTE=jitobear;228036]
That would be one twisted way of looking at motherhood. I wonder if a father can be described as someone who causes a spontaneous abortion in the ""mother"". emoticonXWow",23,29,topic_stance_votes_1
29,Three cheers from the anti crowd!,abortion,attack,"[QUOTE=JPSartre12;229113]
Only if he was responsible for the conception.",29,30,topic_stance_votes_2
30,Three cheers from the anti crowd!,abortion,support,Last post is JP's quote - not mine. Just wanted to clarify.,30,31,topic_stance_votes_2
31,Three cheers from the anti crowd!,abortion,attack,"[QUOTE=JPSartre12;229113]
A woman who conceives is a mother by the definition you provided. Don't blame me if you think its twisted.",29,32,topic_stance_votes_2
32,Three cheers from the anti crowd!,abortion,support,"Close, but no cigar.",4,33,topic_stance_votes_2
33,Three cheers from the anti crowd!,abortion,attack,Wasn't that a Clinton line? :),33,34,topic_stance_votes_1
34,Three cheers from the anti crowd!,abortion,attack,"How about, Close but no page!
Um, borrowing a ""page"" from Congressman Mark Foley.
We don't have any laws against cigar abuse.",34,35,topic_stance_votes_2
35,Three cheers from the anti crowd!,abortion,attack,"Were you aware that your fellow Democrats gave one of their own page molestors three standing ovations back in the 80's?
",35,36,topic_stance_votes_1
36,Three cheers from the anti crowd!,abortion,attack,"Ironically, the age of consent in Massachusetts is 16.
The age of consent in Illinois is 17.
Obviously, there is the issue of sexual harassment and superior / subordinate relationships and legality, but from just the age of consent issue (assuming Morocco), it was legal.",36,37,topic_stance_votes_2
