,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Global Warming Question,climate change,support,"This article, from the Daily Telegraph, states that data from the ""Climate Research Unit at the University of East Anglia"" shows ""that for the years 1998-2005 global average temperature did not increase (there was actually a slight decrease, though not at a rate that differs significantly from zero).""
Does anyone know anything about this university (i.e. is it reputable in this area of science)? Also, any thoughts on the author and his interpretation of this data (if the data is reliable that is).",0,1,topic_stance_votes_1
1,Global Warming Question,climate change,attack,"global warming has always been a scam...If you really look into it you will see that at best one can say that for a certain period of time the earth may have been warming...you can't conclude anything else (such as why, or if it is normal).",1,2,topic_stance_votes_2
2,Global Warming Question,climate change,attack,"The Daily Telegraph is in the pocket of big business interests, it's about as trustworthy on this as Exxon Mobil's PR department.
UEA is a respectable university, however, and the latest press release from their website seems to contradict what the torygraph is saying:
http://www.cru.uea.ac.uk/cru/press/2006-02-hotspots/
I can also quote from the information sheets on the website of the unit:
""The year 2005 was the second warmest on record, exceeded by 1998""
So, in other words, the torygraph is manipulating statistics and talking out of their collective arses. They chose the two warmest years on record and tried to make something out of the fact that the warmest was before the second warmest.",2,3,topic_stance_votes_1
3,Global Warming Question,climate change,support,"My thought is, don't treat editorials as if they were sources of facts. I went to the CRU website, and their home page has a graphic showing definite warming over the time period in question.
http://www.cru.uea.ac.uk/
Bob Carter, the guy who wrote your editorial, is either a fool or not above lying to make a point. The world is clearly getting hotter, all the data supports this. It's not like we're talking rocket science here. All this takes is reading a thermometer and writing down the results, which is a task that people have mastered for quite some time now. Anyone who tells you that we aren't heating up is either in denial, or in the pay of someone who doesn't want to be told to stop polluting.",1,4,topic_stance_votes_1
4,Global Warming Question,climate change,support,"It's an odd article for Telegraph, though I haven't noticed this Bob Carter bloke before. It contradicts almost all the environmental stories they've done before and comes with an unwelcome seam of personal opinion in the article.
If anything it sounds like some of the stuff you hear from the US denying the existance of Global Warming.
Jo, I know you don't read the Telegraph but you are way off regarding the normal content.",3,5,topic_stance_votes_1
5,Global Warming Question,climate change,support,I also visited the university's website and looked at their data. There does appear to be information which contradicts with the above listed article's claims (e.g. - http://www.cru.uea.ac.uk/cru/data/te...ure/nhshgl.gif). Not sure what he is talking about.,5,6,topic_stance_votes_1
6,Global Warming Question,climate change,support,"It is pretty bizzare. There are plenty of groups out there that will reach whatever ""conclusion"" you pay them to reach. Why he didn't cite one of them instead of an easily checkable source that says the opposite of what he says they do is beyond me.",6,7,topic_stance_votes_1
7,Global Warming Question,climate change,attack,"Hey im new and this is actually my first post, as side from the intro one I gave. 
Anyways, I believe Global Warming is a crock. But I would like to say temperature readings are actually increasing in some areas! Wait a min that sounds like I was contradicting myself... Well let me elaborate. Allot of the temperature readings are taken at places like airports, which have allot of concrete and heavy machinery around. Those two factors alone cause a huge rise in temperature, which will distort these readings. In order to get accurate readings temperatures must be taken by other means, like weather balloons. 
Hey you guys want to know something amazing? The weather balloons that they use for this purpose show a very low rise in temperature if any.
Therefore we can only conclude that the earth is not getting warmer at an alarming rate. 
And even if it was... So what! I mean really do you think that we are the cause of it? I doubt it. Friends, the earth is not, by any means as weak as some people would have you believe. It can take our cars and anything else we throw at it.
Umm... this is interesting. My dad just came in and told me about an article that was aired on Toronto's CFRB radio station. The article said that when we go out and burn a quart of wood for a fire we actually put so much pollution into the air that a SUV would have to drive around the world a couple of times in order to even compare!!! can you imagine if there was ever a forest fire!!! man the world would pretty much just XXXX up! Again people, the Earth can take it. 
Also, here’s another interesting fact, when a volcano explodes it produces more pollution then all of the cars ever produced. I mean EVER, from the days of Nicolas Cugnot in 1769 to now.
Also in relation to rising water levels. Reality states that unfortunately there are rising water levels.... However, there are descending water levels! And they pretty much balance each other out. there’s places like Tonga have risen 29.1% over a 65 month period, but places like Tuvalu have decreased 34.3% over a 62 month period. 
But you see people the problem is that environmentalist wackos would have you believe other wise. My point is, we know very little about what’s going on, and our elected officials are attempting to create half fast solutions to a situation that may very well be false problem, i.e. Kyoto. (Remember im from Canada, God bless America!) These attempts are just to make them self’s look appealing at election time. Why does this make them look good? Because people believe the environmentalist wackos and they're outrageous clams, so the government thinks it has to throw money at a made up disaster. 
Also the facts and our scientist even dissociate them self’s from this man made global warming myth and look more to natural fluctuation. 
Therefore if you’re going to point to point a finger, pointed it at Mother Nature. But on the other hand she probably knows what she’s doing so why point a finger at all?
lol Sorry guys i went on alittle rate didn't i. O well i tend to do that, anyways theres some good stuff in there.",7,8,topic_stance_votes_2
8,Global Warming Question,climate change,attack,Not really. Global warming is a fact. The only question is whether we are a significant contributor to it at this time. Btw cars are only part of the problem. Electrical generation 24/7 with fossil fuels is a big concern.,8,9,topic_stance_votes_1
9,Global Warming Question,climate change,attack,"global warming is not a ""fact"" as people think it is defined. Is the earth slightly warming? Maybe...but that is the best you can say. You can't state as ""fact"" the reasons, whether it is natural or not, or whether humans are contributing to it.",9,10,topic_stance_votes_2
