,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,If they won't let us marry.,gay marriage,support,"If the christianists are dead set against we gay people getting married then I say lets let them keep marriage. Lets go on the attack and attempt to destroy christainist hetero marriages.
We gay men need to suduce the men and the lesbians need to suduce the women. Lets see if we can drive those divorce rates up to 60%, 75%, or even 90%.",0,1,topic_stance_votes_1
1,If they won't let us marry.,gay marriage,support,"Oh, THANK YOU MATT! You just effectively shot down every argument I had in the 'indoctrinate our children' thread. See if I stick up for YOU publicly anymore.
btw...it's s-e-d-u-c-e",1,2,topic_stance_votes_1
2,If they won't let us marry.,gay marriage,support,"Really Matt.
I guess you were trying to be funny or ironic, but I don't find it so. I sympathize with your point, of course, but your content comes off a little, well... nuts. You come off sounding more like Archy than you know. Sorry, that's a terrible thing to say to someone, but ...
Simply put, I don't see how this adds any thought to the discussion.",1,3,topic_stance_votes_1
3,If they won't let us marry.,gay marriage,support,Totally agree.,3,4,topic_stance_votes_1
4,If they won't let us marry.,gay marriage,support,My point is to be outrageous. There is a part of me that says if I can't have something then I want to take it away from those who would deny me.,2,5,topic_stance_votes_1
5,If they won't let us marry.,gay marriage,support,"I am in agreement with the others, Matt. You are hell-bent on revenge and no ally to gay rights.",5,6,topic_stance_votes_1
6,If they won't let us marry.,gay marriage,support,"What if they do pass the federal amendment would then still agree with them then? If we are locked out permanently, which the christianist seek to do, then why not? The gay personals are filled with married men wanting discret meetings.",6,7,topic_stance_votes_1
7,If they won't let us marry.,gay marriage,support,"Hear, hear.",6,8,topic_stance_votes_1
8,If they won't let us marry.,gay marriage,support,"....and this would advance your cause how????
I understand your frustration, I really do. I'm a commercial pilot and a captain. Only six tenths of one percent of pilots are female AND captains. I didn't get here by trying to sabotage the male pilots, I got here by demonstrating that I was as valuable as they were, and by working WITH them. You're your own worst enemy Matt, you really are.",7,9,topic_stance_votes_1
9,If they won't let us marry.,gay marriage,support,You continue to educate and work to have it changed again.,7,10,topic_stance_votes_1
10,If they won't let us marry.,gay marriage,support,"Hi, Matthew, I understand and share your frustration and anger, but the enemy isn't married heterosexuals. It's Christianist bigots. You won't achieve anything trying to attack straight marriage -- as an institution, the only ones who can undermine it are straight people who choose not to marry. I guess I just can't see the point of this particular thread.",10,11,topic_stance_votes_1
11,If they won't let us marry.,gay marriage,support,Could I possibly persuade you to send a lesbian to seduce me instead?,11,12,topic_stance_votes_1
12,If they won't let us marry.,gay marriage,support,Your adversaries appreciate it greatly. Which part of the parades do you suppose they focus on to demonize you?,5,13,topic_stance_votes_1
13,If they won't let us marry.,gay marriage,support,"Thirded...
(or whatever number we are up to)
You lash out, hurting the gay rights cause, and you don't give a dam about anybody else but sating your emotions.
Your efforts are noted and repeated by those who wish to continue oppression of gays, cause it suits their purpose. And you don't give a hoot.
Just wanted to repeat that cause it warranted repeating.",6,14,topic_stance_votes_1
14,If they won't let us marry.,gay marriage,support,"I agree with the others.
Sorry Matt, but this sort of thing only hurts Gay Rights.
All it does is give the Anti-Gay bigots something more to point at and say: ""See, I told you this is their agenda, etc.. I was right all along!""
I'm sad to see that you have gone from a rather rational person when I first came here, to being little more than a Gay Rights version of Archie.
I agree with Lesz - attacking hetero marriage won't help, as they are not the enemies. The right wing Christo-nazis are the enemies. And I say that because I am one of those heteros that you want to attack and destroy the marriage of when I am nothing but an ally to Gay Rights.",14,15,topic_stance_votes_1
15,If they won't let us marry.,gay marriage,attack,it just goes to show that you don't want to marry you only won't to destroy the meaning of the word.emoticonXRolleyes,1,16,topic_stance_votes_2
16,If they won't let us marry.,gay marriage,attack,"See exhibit one, Matt.",16,17,topic_stance_votes_1
17,If they won't let us marry.,gay marriage,support,"While obviously we gay folks are not going to go out and try to sabotage the marriages of heterosexuals, there is a small, quiet movement among some heterosexuals who have refused to marry legally until same-sex couples have the equal right to marry. Not many have done this, but a few have taken this position on principle. 
Also, there has been a movement among some ministers, again not many but a few, to refuse to marry opposite-sex couples until same-sex couples have the equal right to marry legally. 
This is not what Matthew was proposing, but it is an effort on the part of some of our allies to take principled stances in support of equality.",17,18,topic_stance_votes_1
18,If they won't let us marry.,gay marriage,support,"Not one person who responded to this thread actually read what I wrote in the op.
I was very specific on whose marriages should be targeted. Since the christinists are the ones who want to deny marriage to us then maybe they need to have theirs taken away. We also have thanks to http://knowthyneighbor.org/ lists of people who should be targets.",18,19,topic_stance_votes_1
19,If they won't let us marry.,gay marriage,support,"No Matthew, we all read it. The fact that you have specific targets in mind for your attacks changes nothing; what everyone says still applies. Please, please, give up this appproach. You're only hurting those you claim to want to help.",19,20,topic_stance_votes_1
20,If they won't let us marry.,gay marriage,support,"Yeah, Matt, we read it all. Those kinds of vengeful actions draw negative attention to your cause. You'd be alienating people who might otherwise have been on your side and you push the fence-sitters firmly to the other side. We like you, Matt, we really do, and we hate to see you hurt yourself this way. Don't give the anti gay-rights people the added ammunition of 'homewreckers' to add to their arsenal. It's counter-productive and gains you nothing.",20,21,topic_stance_votes_1
21,If they won't let us marry.,gay marriage,support,"All the others are right, Matthew. Stop being a friggin fanatic for once and listen to them.",21,22,topic_stance_votes_1
22,If they won't let us marry.,gay marriage,attack,"Now, y'all don't be too rough on poor little Matthew. There's nothin' wrong with him that thirty years of intense, 24 hour per day therapy can't cure. Take up a collection and hire him some professional help.",22,23,topic_stance_votes_2
23,If they won't let us marry.,gay marriage,support,"Wrong.
We all read it.
We are all responding to it.
For some reason, you paint with a BROAD brush the entire group of people when the truth is that if some Christians didn't support gays in large numbers, we wouldn't have made the ASTOUNDING progress we have made in the last ~35 years.
Think about it. We have gone from ""mentally ill"" to a majority supporting us on every issue with only one exception.
Blacks were emancipated from slavery in 1863.
Literacy tests were not outlawed until 1965. Over a century later.
Yes. We deserve equal rights. But actually getting them is often a long and arduous process.
And quite frankly, your venting is HURTING OUR CAUSE.
And THAT is something YOU haven't responded to in all the posts that have been on this thread.
Would you care to discuss how your actions are hurting the cause?
Or do you even care?",19,24,topic_stance_votes_1
24,If they won't let us marry.,gay marriage,support,"In addition to the wrongheadedness (? a word?) of ""targeting"" anyone's marriage, you propose to do it by seducing them? That's nuts about 6 ways.
No. We all read it. It is a bad intention, a bad direction to go, misguided energy and an attitude that makes the lot of gays and lesbians worse. Please cut it out.",19,25,topic_stance_votes_1
25,If they won't let us marry.,gay marriage,attack,"Very interesting Matt. A little confused are you? What on earth makes you think that a gay men could succeed in seducing a straight man, and a lesbian could seduce a straight woman.
Of course there always are exceptions. Some people will do anything for money.",1,26,topic_stance_votes_2
26,If they won't let us marry.,gay marriage,attack,"Ignoring the issue of Matthew for the moment, haven't you ever heard the phrase: ""The best ones are either taken or gay."" ??
But I doubt that is what Matthew was talking about. He didn't explain the supposed mechanism for his vendetta...",26,27,topic_stance_votes_1
27,If they won't let us marry.,gay marriage,support,"This, thankfully, only applies to the boys.emoticonXSmilie",27,28,topic_stance_votes_1
28,If they won't let us marry.,gay marriage,attack,Because the gay personals are full of married straight men looking for discrete gay sex,26,29,topic_stance_votes_1
29,If they won't let us marry.,gay marriage,support,Dozens out of millions. Just stop it already.,29,30,topic_stance_votes_1
30,If they won't let us marry.,gay marriage,support,"So if understand correctly, those that oppose gay marriages, have voted to outlaw gay marriage, and preach against gay marriage, can do just that with no harm to themselves? They get to have a say in our lives but we don't get to have a say in their lives? If someone has or gets a say in my life then I want a right to have a say in their lifes.",21,31,topic_stance_votes_1
31,If they won't let us marry.,gay marriage,support,"The same could be said of you Matthew...
An eye for an eye leaves everybody blind.
OPPOSING them can be effective.
HARMING them hurts our battle for equality.
So the question should REALLY be whether or not you should ""harm them"" without any regard to how you are HURTING your fellow gay people.
Talk about having your cake and eating it too...
We don't want EITHER side to control the other's lives.
YOU want to relish in the ABUSE of power, which will help THEM to proliferate and strengthen such abuse.
The real question is if YOU REALLY don't want them to have a say in our lives, why are you acting in such a way that STRENGTHENS their ability to do so?",31,32,topic_stance_votes_1
32,If they won't let us marry.,gay marriage,support,I was brought up with the concept that if I broke my brothers toy I must then give him mine. That is what I am asking for here justice and fairness they broke my toy so they must give me theirs.,32,33,topic_stance_votes_1
33,If they won't let us marry.,gay marriage,support,"You can try to justify it with all sorts of pretense ""justice"" heurestics that you want.
You aren't ""asking"" anything. You are talking about breaking something of somebody else's because of what they have done to you.
I know of NO ""justice"" ideology that justifies that. The typical response in such cases is compensation. Not the capability to vengefully reply with similar damage.
The bottom line is this.
When YOU hurt MY equality, what toys of YOURS do I get?",33,34,topic_stance_votes_1
34,If they won't let us marry.,gay marriage,support,"No. Your ""justice and fairness"" is not analogous to that. A far more accurate analogue is that your brother broke your toy, so you break his. And that gets us nowhere.",33,35,topic_stance_votes_1
35,If they won't let us marry.,gay marriage,support,"British scientists have just announced that they have produced sperm from a woman's bone marrow. As of now, men are redundant! Same sex marriage may become a man's only option soon. ;)",35,36,topic_stance_votes_1
36,If they won't let us marry.,gay marriage,support,"People who act within the bounds of the law get to do so with no harm to themselves. Yes, that is exactly what we are saying. Gay rights is NOT about terrorism in any way, shape, or form. They speak, we speak, eventually we win because justice is on our side. Or at least it will be if you and your sort don't go and do anything injurous to the cause.",31,37,topic_stance_votes_1
37,If they won't let us marry.,gay marriage,support,"Yeah, that'd be great, wouldn't it? And actually Matt, you do, in the sense that anything you vote for that succeeds impacts SOMEONE. Does the teachers union come and burn your books when you vote against a school bond issue?
The reality of the situation is this: Your group is a minority, there are LESS of you in the pool of voters. To succeed in achieving the rights you so desperately want, you need the help of people like me (white, middle-aged, middle-class, poster-child-for-average) to believe in your cause and act to advance it. That's been the determining factor in every civil rights issue in this country. I actually believe that soon we will be in the majority on the marriage issue, as we have come to be in all other areas of gay rights. As angry as you are, vengeful tactics win you no friends in the group where you need them most.",31,38,topic_stance_votes_1
38,If they won't let us marry.,gay marriage,support,"Yes I know but it keeps the forum from getting boring ;) 
BTW I miss the TCC and its fantastic smilies :(",38,39,topic_stance_votes_1
39,If they won't let us marry.,gay marriage,support,.....getting my post count to 15 so I can pm.,39,40,topic_stance_votes_1
40,If they won't let us marry.,gay marriage,attack,"Why am I not surprised that you, a homosexual who's in an allegedly committed relationship with a long time partner, is also trolling the gay personals.",29,41,topic_stance_votes_2
41,If they won't let us marry.,gay marriage,attack,Why am I not surprised that you resort to vile ad homs when you cannot find logic for your POV?,41,42,topic_stance_votes_1
42,If they won't let us marry.,gay marriage,support,"Nooooooooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!
However, we're still the only ones that can put up shelves! We've just got to make sure they don't learn how to do that, or we're doomed! emoticonXGood",36,43,topic_stance_votes_1
43,If they won't let us marry.,gay marriage,attack,"How do you know the personals aren't the way he found his partner? It's a known fact in the gay community in general, and quite logical, that straight identified or closeted men would use such anonymous means to address their sexual frustrations. But of course you operate under the assumption that gay people are dirty devils, and put the onus on us to prove we are not. Your invisible sky residing friend told you so.",41,44,topic_stance_votes_1
44,If they won't let us marry.,gay marriage,attack,"That's simple Jake, just read the flow of the disgusting premise of Matthew's thread. And he wasn't referring to the gay personals as a ""find a buddy"" source but a source of depraved and illicit debauchery and sex. And he say's very clearly in the quoted post above that he is very aware of what is in the gay personals. I can attest that people in committed relationships that I know, don't troll the personal adds looking for any kind of illicit sex. It just isn't done by truly monogamous people.",44,45,topic_stance_votes_2
45,If they won't let us marry.,gay marriage,attack,"Incredible! Why am I not surprised at all, that you consider my pointing out that a person in an allegedly committed relationship who is trolling the personals for sex partners, but I am resorting to vile ad homs. You are just like Matt in that you don't even realize that in almost every post you write you expose how utterly reprobate your moral standards are. emoticonXGood emoticonXWow",42,46,topic_stance_votes_2
46,If they won't let us marry.,gay marriage,attack,"Your concern for the mote in my eye utterly blinds you to the beam in your own.
Thank you for your concern, but my moral standards are just that, MY moral standards. 
I have managed for 65+ years without your help, and I can manage on my own without your help quite well, thank you, until I meet my Master in a better world than this one.",46,47,topic_stance_votes_1
47,If they won't let us marry.,gay marriage,support,The Master's not the nicest guy you know. I expect the Doctor would be a better person to run into...,47,48,topic_stance_votes_1
48,If they won't let us marry.,gay marriage,support,"LOL!!emoticonXGood
My view is that the next life will consist of one big party, attended by all the people who lived by whatever word their Master...oops..,.doctor will give them.
I expect to see all the good Christians, good Jews, good Muslims, good Hindus, good Buddhists, and all the good people of all faiths and of no faith whatsoever.emoticonXGood
I suspect that we will be swapping jokes about the poor deluded people who seriously believed that it was necessary to follow the dogma of a particular faith to get an invitation to the party.
We may even lament their absence from our company - but not for very long.",48,49,topic_stance_votes_1
