,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,How to Believe in God,existence of God,support,"How to Believe in God
Six Easy Steps
1. First, you must want to believe in God.
2. Next, understand that believing in God in the absence of evidence is especially noble.
3. Then, realize that the human ability to believe in God in the absence of evidence might itself constitute evidence for the existence of God.
4. Now consider any need for further evidence (both in yourself and in others) to be a form of temptation, spiritually unhealthy, or a corruption of the intellect.
5. Refer to steps 2-4 as acts of “faith.”
6. Return to 2.",0,1,topic_stance_votes_1
1,How to Believe in God,existence of God,attack,"Its even simpler than that, put it on..... pretend!
with regard to your former way of life, to put off your old self, which is being corrupted by its deceitful desires; to be made new in the attitude of your minds; and to put on the new self, created to be like God in true righteousness and holiness
""But now you must rid yourselves of all such things as these: anger, rage, malice, slander, and filthy language from your lips. Do not lie to each other, since you have taken off your old self with its practices and have put on the new self, which is being renewed in knowledge in the image of its Creator.""
""clothe yourselves with compassion, kindness, humility, gentleness and patience. Bear with each other and forgive whatever grievances you may have against one another. Forgive as the Lord forgave you. And over all these virtues put on love, which binds them 
all together in perfect unity""
""put on the Lord Jesus Christ, and make no plans to satisfy the fleshly desires.""
""For as many of you as have been baptized into Christ have put on Christ""
""put on the new man, the one created according to God's likeness in righteousness and purity of the truth""
However we should not ""put on Christ"" as a means to be a mask to to bad things.
""You know we never used flattery, nor did we put on a mask to cover up greed--God is our witness. ""
The whole world is a stage and all the people merely players.... How we act is what we become, therefore act as a Christian....
""everyone who hears these words of Mine and doesn't act on them will be like a foolish man who built his house on the sand. ""
""Did we not act in the same spirit and follow the same course? ""
""act according to his good purpose""
""Speak and act as those who are going to be judged by the law that gives freedom""
"" by his power he may fulfill every good purpose of yours and every act prompted by your faith.""
if we act as gangstars, we will become Gangsters, if we act like drug dealers, we will become drug dealers, if we act as athiests, we will become athiests, if we act as Christians we will become Christians, act like Christ and you will become like Christ. When we are inclined to do what is wrong, pretend you are like Christ able to step away from the temptaion and as you walk away from the temptation you find you have ACTED like Christ. When we experience the grace of Christ in our lives, we believe he is the way, the truth and the life.....
""As for God, His way is blameless; The word of the LORD is tried; He is a shield to all who take refuge in Him.""....
and our heart is opened to the possibility of a supreeme being and then we begin to precieve the presence of the lord in many things that reaffirm our minds in our belief of his existance.... ""Seek and ye shall find, knock and it shall be opened up to you.""",1,2,topic_stance_votes_2
2,How to Believe in God,existence of God,support,"The above comes straight from the dest of the Potter, the noble Herdsman who herds us to greener pastures and cleaner waters.
It has His/Her/Its stamp of approval too.
PM me for the Potters paypal information so you can make a faith offering to prove your faith.",1,3,topic_stance_votes_1
3,How to Believe in God,existence of God,attack,"What illogical tripe. 
The above is factually not true.
It's also the garbage that the Word of Faith movement hangs on to get people to conform to their message.
Seriously, I act like a 13 year old quite often...I only WISH I'd become one...simply becasue youth is wasted on the young.
I also act like a God. Flexing my might and power on a whim. 
I'm still waiting for adoration and worship.
There is no 'act' there either IS or IS NOT.",2,4,topic_stance_votes_1
4,How to Believe in God,existence of God,support,I should have included that the six steps were written by Sam Harris.,4,5,topic_stance_votes_1
5,How to Believe in God,existence of God,support,"7. When you sup with Christianist and other religious fundamentalists, use a lo-o-o-o-o-o-ng spoon.",1,6,topic_stance_votes_1
6,How to Believe in God,existence of God,support,Better....just avoid them.,6,7,topic_stance_votes_1
7,How to Believe in God,existence of God,attack,"""What illogical tripe. 
The above is factually not true.
It's also the garbage that the Word of Faith movement hangs on to get people to conform to their message.""
I dont know who or what the Word of Faith movement is, its not illogical at all, try it.",7,8,topic_stance_votes_2
8,How to Believe in God,existence of God,attack,Believing in stuff that there is no evidence to support is not LOGICAL.,8,9,topic_stance_votes_1
9,How to Believe in God,existence of God,support,"I think that's the first thing you've said (in this forum) that I agree with. Not only that, but belief in God is illogical.",9,10,topic_stance_votes_1
