,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Spain on the brink of passing law to allow gay marriage,gay marriage,support,"http://news.bbc.co.uk/1/hi/world/europe/4469653.stm
Good news for gays in Spain, it saves them a trip to Holland or Belgium. ;):p",0,1,topic_stance_votes_1
1,Spain on the brink of passing law to allow gay marriage,gay marriage,support,Let's watch marriage in Spain entirely fail to be undermined and devalued...,1,2,topic_stance_votes_1
2,Spain on the brink of passing law to allow gay marriage,gay marriage,support,"The HEATHENS!!!
Sorry ... just channeling bigots ... emoticonXClown",2,3,topic_stance_votes_1
3,Spain on the brink of passing law to allow gay marriage,gay marriage,support,Hmmm. Got a feeling that spain will become another country where gay marriage doesn't cause problems.,3,4,topic_stance_votes_1
4,Spain on the brink of passing law to allow gay marriage,gay marriage,support,What problems exactly can be caused by gay marriages?,4,5,topic_stance_votes_1
5,Spain on the brink of passing law to allow gay marriage,gay marriage,support,The creation of Sodom and Gomorra. ;),5,6,topic_stance_votes_1
6,Spain on the brink of passing law to allow gay marriage,gay marriage,support,"We've been waiting for someone to tell us, but somehow they're reluctant to become specific... at least as far as demonstrating cause-and-effect. (They can come up with people wanting to marry their mailboxes, and apocalypse, and things like that, but not how they would inevitably result.) You'd think they could just point to what must be plentiful examples in the countries/states that already have  gay marriages. Wouldn't you?",5,7,topic_stance_votes_1
7,Spain on the brink of passing law to allow gay marriage,gay marriage,support,"Don't know if you've read this before already, but the interpretations of the Hebrew texts for Genesis Ch 19 have been seen buy many to have been deliberately mistranslated by the homophobic church leaders back in the day.
Two examples:Gen 19:4 often translated as - 'the men of the city, even the men of Sodom, compassed the house round, both old and young, all the poeple from every quarter'.
However, the Hebrew word transliterated as ""anshei"" was translated above as 'men', when it is ambiguous and can refer to people, including women and children. This seems to have been an attempt to make the mob all-male.
The second is the next verse Gen 19:5 often translated as 'They called to Lot, 'Where are the men who came to you tonight? Bring them out to us so that we can have sex with them.' 
Here the Hebrew word transliterated as ""ya,da"" is translated as 'to have sex', when it is ambiguos and can mean 'to know'.
Now considering that we already have a description earlier in Genesis as 'a tiny fortress in the barren wasteland south of the Dead Sea. The only strangers the people of Sodom ever saw were enemy tribes who wanted to destroyand take over their valuable fortress and the trade routes it protected', doesn't it seeem more likely that if some strangers appeared in Sodom, the entire town, not just the men, would want to know who they were (in case they were hostile - as many of the strangers in Sodom were) than to gang rape them?
The story of Sodom and Gomorra seems to this reader as a grossly and deliberately misinterpreted Bible passage designed to support unfounded homophobia.",6,8,topic_stance_votes_1
8,Spain on the brink of passing law to allow gay marriage,gay marriage,support,"Very interesting, I didn't know that, thanks for the info. :)",8,9,topic_stance_votes_1
9,Spain on the brink of passing law to allow gay marriage,gay marriage,support,"Not only that, but think about it logically. If every  male in town, young and old, and that's what the passage says, was gay, wanting to rape Lot's visiting angels out of homosexual lust--the inescapable implication of the use of the story to condemn homosexuality--Sodom must logically have been an all-gay  town, with a reputation far surpassing the Castro or West Hollywood. (You got to wonder where the young ones came from, since obviously no one there was, uh, ""procreating."")
Funny, then, that none of the other references to the city (and there are many) mention what must have been its most notable aspect.",9,10,topic_stance_votes_1
