,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Atheists - America's greatest threat?,existence of God,support,"Hello,
A recent survey found that 54% of Americans believe atheism presents the greatest threat to our society, even more than non-Christian religions such as Islam.
http://www.mndaily.com/articles/2004/04/27/9453#repeat
That has me wondering what our fellow forum members think about the matter. I've included a poll which I hope you'll take time to vote in, and I am looking forward to any and all comments.
regards",0,1,topic_stance_votes_1
1,Atheists - America's greatest threat?,existence of God,support,"Now I`m sure this is all due to neglience and I bet they asked questions about threat, but I found this a bit odd.
""When questioned about what religious or nonreligious group doesn’t share their vision of American society, survey participants indicated that atheists — with 54 percent — provided the greatest threat, Hartmann said. Survey participants said Muslims create the second-highest threat. ""
""Not sharing views of society"" does not equal ""providing greatest threat"", does it?",1,2,topic_stance_votes_1
2,Atheists - America's greatest threat?,existence of God,support,"Hi Eddie,
A fair enough question I suppose. I have no further info about the news article or the wording of their poll. 
What I'm personally looking for is to try to understand if Christians feel their way of life is endangered by atheists, and what the nature of their feeling of endangerment is, i.e., dwindling church attendance, complete repudiation, etc. I don't for a moment think believers feel physically threatened and the word ""threatened"" might better be thought of as ""concerned"".
regards",2,3,topic_stance_votes_1
3,Atheists - America's greatest threat?,existence of God,attack,"Good post, billsco.
Concerned? I can’t conceive any way that atheism can concern me or my environment. I personally know several that contribute to the community in positive ways just as much or more so than those that believe in God.
I do feel concerned for them, though. My belief system carries me beyond the physical and into the spiritual, which forces me (spiritually) to grieve for them. I am not a religious nut insofar as religion is concerned, but am towards Christ. I have no methods, no rituals, or scheming routines so I am free to express my belief with compassion. Nuff said on that.
If a person is “good”, he or she is acceptable, if not they are a menace to society. Religionists are not good people, whether they are so-called Christians, Muslims, Buddhists, etc.
If I worship the Truck God and treat people with respect, show love, honor and am trustworthy, then my faith in my Truck God is irrelevant. When I love my wife and kids with all my heart and provide for them the best I can, when I participate in social functions, help feed the poor, take care of the elderly, it makes no difference if there is a god, I am not a threat.
Of course, if I am a religionist, and my livelihood depends on how many people believe in God, then I could count all atheists as enemies. Heck, I might start a petition around my neighborhood to prevent those kinds of people from buying homes here. I would have a reason to discriminate, right? Yea – right.
Again, good post. Am anxious to see the replies.",3,4,topic_stance_votes_2
4,Atheists - America's greatest threat?,existence of God,attack,"Well as a die-hard atheist, I'm obviously coming down on the benificial side. But not just because I believe in it myself, but because I believe that society is strongest through diversity, to place the blame at a specific religion is wrong. They all have potential for benifit and destruction.",4,5,topic_stance_votes_1
5,Atheists - America's greatest threat?,existence of God,support,"As an atheist I will give religion the benefit of the doubt and so I voted neutral. I have long felt that a ""moral"" atheist is the more ""evolved"" being. Can't see how that could offend someone who believes not in evolution.",5,6,topic_stance_votes_1
6,Atheists - America's greatest threat?,existence of God,attack,"Hi Big Orn,
Well as long as it's spiritual grieving then. Nothing worse than watching a big guy physically sobbing. haha
Are you going so far as to condemn organized religion? If so, care to put a name to it, like say Southern Baptists, or Evangelical Lutherans? How far out on that limb are you willing to go? 
regards",4,7,topic_stance_votes_1
7,Atheists - America's greatest threat?,existence of God,attack,"Is it time to go fishing? Let's wet a hook. :p 
I don't see one religion taking the blame, nor can I point out those that completely fall away from the Truth. This church here may follow the true teaching, while that one over yonder under the same denomination, are far out into left field.
For example: I visited a Pentecostal church that the preacher (egotistical I might add) said that it was a sin to dip snuff, and the people agreed with him with a big AMEN, yet I saw him drink 3 cups of coffee before service. Another Pentecostal church, another preacher, another set of believers, says something different.
A Baptist minister preaches about markings on the body (tattoos), but allows the women of his congregation, including his dear wife, to get boob jobs.
I could go on and on.
Are there any two-faced atheists? :p emoticonXAngel",7,8,topic_stance_votes_2
8,Atheists - America's greatest threat?,existence of God,attack,"I have been known to say ""God bless"". Does that count?",8,9,topic_stance_votes_1
9,Atheists - America's greatest threat?,existence of God,attack,"Look at post #2 here. The actual question didn't actually involved atheists being threats in any way. It basically stated that people believe atheists are part of the least typical American religion. The Christian majority can essentially relate better with Islams who are part of a real religion than they can with atheists who are not religious. That is all this poll shows.
I am also with you as far as religious diversity goes. It is good to have a diverse base of religions here. None are more destructive or better than the others as far as I can tell.",5,10,topic_stance_votes_2
10,Atheists - America's greatest threat?,existence of God,attack,"I realise that. I meant that as far as I'm concerned, diversity is part of what typifies American/Western culture. Hence Athiesm is a part of that and generally helps it.",10,11,topic_stance_votes_1
11,Atheists - America's greatest threat?,existence of God,support,"Taking a neutral standpoint, I'd say that atheism is, in a way, beneficial to society. AS suggested above, diversity molds us into a better society. You can't have everyone believing the same thing, then forums like these would not exist. It would also be wrong to suppress certain views because you disagree with them.
Honestly, I can see why christians may see this as a veritable threat. For one, many atheists will make postulations-some of them valid, some of them simply blather, about inconsistencies in the bible and deceitful things your parents told you. They also study a very sacred item and ideology; through theology they may discover a few things that gnaw away at the bible's relevancy and credibility. This, to me, seems to irritate christians and make them feel a bit questionable about their beliefs. Atheism, to many christians, is rightfully conceived as an attempt to undermine everything christianity stands for and has done throughout the course of history. I'm sure that's why christians feel threatened by atheistic espousings.",11,12,topic_stance_votes_1
12,Atheists - America's greatest threat?,existence of God,support,"Hi mamboni,
How could atheists like myself do a better job of not grating on Christians? 
regards",12,13,topic_stance_votes_1
13,Atheists - America's greatest threat?,existence of God,support,"I guess it's all about perception, and many atheists are maligned by christians because they question what is/has been sacred and undebatable to many for eons. There's really no way for an atheist to soften the XXXX he inflicts on a christian, it's basically the premise of atheism - which is to deny the existence of a deity. I don't think it's the attitude or the way you come off, but simply because they're so offended by your beliefs. 
Again, I'm neither atheist nor christian, so I am indifferent on this. I hold no preference to either religion, or non-religion in atheism's case.",13,14,topic_stance_votes_1
14,Atheists - America's greatest threat?,existence of God,attack,"Hi AMD4EVER,
I guess that's correct, it's what the poll shows, but like so much in religion it makes no sense. Christians are willing to hop in bed with Muslim jihadists, but will see to it their son doesn't play baseball with an atheist's son. They'll go to lengths to praise Islamists as peaceful people despite the thunderous silence from the Muslim community, and yet shun their ex-Christian brother and neighbor as a seditious traitor. They will try to get him fired from his job, write nasty letters to the editor, and block any attempt to hold elective office, all the while espousing Christian compassion. All the above are true examples of what it has been like since I lost my faith.
I can't believe I asked what atheists can do to not grate on Christians. 
regards",10,15,topic_stance_votes_1
15,Atheists - America's greatest threat?,existence of God,support,"Thankfully I have never seen such prejudice and hypocracy from the Christian community, I'm sorry that you've been so unlucky.
I'm not sure what you mean by 'the thunderous silence from the Muslim community'. 'Islamists' are on the whole peaceful people.",15,16,topic_stance_votes_1
16,Atheists - America's greatest threat?,existence of God,support,"A good person is a good person; no religion has a monopoly on it. The reason atheist’s bug Christians is, IMO, that we ask the unanswerable questions, and wants an answer. That is my experience with my wife, if I ask a question she can’t answer, I am attacking her religion.",15,17,topic_stance_votes_1
17,Atheists - America's greatest threat?,existence of God,support,"Yes thats exactly the same experience I've had, especially with family who seem to feel I'm making a really personal attack on them just by trying to ask questions.",17,18,topic_stance_votes_1
18,Atheists - America's greatest threat?,existence of God,attack,"Let me play devil's advocate and argue against religious diversity. In my view, a very important role of religion is to give people certainty about the meaning of life and also for the rules of right and wrong behavior. Religious heterogeneity subverts the authority, the persuasiveness, and positive influence of these beliefs, so they no longer do as well what they are intended to do; they no longer do what people need them to do. Beliefs becomes mushy, tepid, tentative, and somewhat arbitrary as people adjust them in order to get along with everyone else. And people frankly begin to adopt illogical beliefs like that all paths lead to God. I was raised in a religion which taught that if you were not a faithful member, you do not go to heaven. There are other religions that teach the same thing, so all these people in a religiously diverse society like the U.S. are saying all paths lead to Heaven, but how can the exclusive religions all be right? 
On the other hand, I will concede that religious diversity tends to soften religions, and sometimes they need that. For example, from what I see, Muslims born and raised in the U.S. tend to have a more moderate, healthy oritentation than a Muslim raised in an exclusively Muslim country. So I guess my advocacy as a devil is not a particularly aggressive one.",18,19,topic_stance_votes_2
19,Atheists - America's greatest threat?,existence of God,support,Where are the Muslim Billy Grahams denouncing with all their conviction the violence of their right wing? Where is the Islamic equivalent of the Right Reverend Jerry Falwell going on The Most Reverend Pat Robertson's TV show to bare his soul about how to get his violent wayward brethren back into the peaceful flock?,16,20,topic_stance_votes_1
20,Atheists - America's greatest threat?,existence of God,support,"I think atheism is no better for society than any one or the other of the organized religious groups. The world is full of people trying to get others to think like they do, to join their group, to identify as one of them.
An atheist questioning a Christian's belief is no different than proselyting by way of an evangelical membership drive.
To me, it is a sign of weakness and insecurity that you cannot leave others alone in their religious beliefs. I don't really care what you worship or that you worship nothing as long as you leave me alone. I'm not out to save your soul.",19,21,topic_stance_votes_2
21,Atheists - America's greatest threat?,existence of God,attack,I agree with you to the exact degree that it shows weakness and insecurity to discuss political ideas to those of other persuasions.,21,22,topic_stance_votes_1
22,Atheists - America's greatest threat?,existence of God,attack,"Since I believe in total separation of church and state, I cannot carry the argument of peaceful coexistence into politics. Weak political parties lose control.
There is merit in trying to persuade one's political foes to switch sides, but there is no need to mess with their inconsequential religious views.
What you believe about God doesn't affect me. What you believe about how the country should be run does.",22,23,topic_stance_votes_2
23,Atheists - America's greatest threat?,existence of God,attack,Makes me wonder what you're doing in a religious forum with such open contempt of a subject as that.,23,24,topic_stance_votes_1
24,Atheists - America's greatest threat?,existence of God,attack,"Hi galton,
I agree. It reminds me of a theory I have which I would like to trot out for the first time anywhere.
I think when Martin Luther posted his 95 theses on the church door he inflicted a fatal XXXX to Christianity. In my mind's eye I see him in a boxing ring with the pope, delivering an unexpected solid right to the solar plexus which at first stuns the pope, and then sends him reeling and staggering about the ring uncontrollably and dazed. All these centuries since Luther we are simply waiting for the inevitable to occur.
regards",19,25,topic_stance_votes_1
25,Atheists - America's greatest threat?,existence of God,attack,"I have no contempt for the subject. I simply do not care what you believe as long as it doesn't affect politics. Whether or not you believe in any or all gods has no bearing on my daily life.
How do you translate that to contempt?",24,26,topic_stance_votes_2
26,Atheists - America's greatest threat?,existence of God,attack,"Hi jim's trucking,
Religious discussion is a passion of mine, as I can see political discussion is to you. if I were to insert into one of your threads that in my opinion ""inconsequential political views"" were being discussed here, would you accept the statement or would your blood pressure begin to rise as mine is? I happily discuss my differences with my friends on the opposite side of the fence all day and never have to deal with condescension from them. I feel that was your intent.
If you think religious views have no bearing on modern political thought, I will be happy to disabuse you of that notion.
regards",26,27,topic_stance_votes_1
27,Atheists - America's greatest threat?,existence of God,attack,"Political views are not inconsequential.
As I stated, I believe in total separation of church and state. It is true that religion has and always will affect politics. It's just that I think it should not do so. Therefore, I can separate discussions of religion from those of politics by saying that I truly do not care whether one worships or not, as long as it doesn't affect my daily life.
If your political views are determined by your religion, I will still argue against your political views, but not against your religion. I also would argue that you should try to divorce the two.
There are certain things that I believe are absolutely silly about some religions, but I choose not to point them out.
It took us a long time to elect a Catholic president for fear that the Vatican would then control our political posture. However, JFK turned out to do us well.",27,28,topic_stance_votes_2
28,Atheists - America's greatest threat?,existence of God,attack,"You inferred wrongly. I simply have a non-confrontational approach to religious differences. That does not mean that I condescend to others having at it. I have more pleasing things to do.
I do enjoy reading religious views. I may sometimes express mine, but hardly ever try to argue that mine should be preferred by someone else.",27,29,topic_stance_votes_2
29,Atheists - America's greatest threat?,existence of God,attack,"Nor are religious views IMO.
Thank you for clarifying.",28,30,topic_stance_votes_1
30,Atheists - America's greatest threat?,existence of God,support,"I've experienced that too. If you start asking questions of some people like this, they get angry that you're 'attacking their religion.'
I think that a diversity is necessary. I would never, ever live in a community of 100% christians. Nor would I ever live in a community that is 100% atheist...there needs to be a balance. It's kinda like politics, we should never live in a society which is all conservative or all liberal. That'd be tarrible.",17,31,topic_stance_votes_1
31,Atheists - America's greatest threat?,existence of God,support,"I agree. Both wings should be strong and powerful in order to fly. But religion, IMO, is the weight around the neck that keeps us from soaring.",31,32,topic_stance_votes_1
32,Atheists - America's greatest threat?,existence of God,attack,"I haven't read all of the postings but I would disagree with Billsco. It is not religion that is the weight around our neck, nor is it atheism.
It is religious hypocrisy.
It is people who claim christianity and then subscribe to the worst the world has to offer. Perhaps a better statement is simply, human nature.
People are the greatest threat. Anyone who can look at history and actually say that the basic human nature is ""Good"" is lying to themselves about history.
Hitler was a particulary good student of human nature. It is why he was so successful. 
There are many christians who are very sincere and live life in dependence on a loving God. In this we find hope. There is no hope with atheism (by definition mind you). That does not make it the greatest threat, simply not the answer to the greatest threat.",32,33,topic_stance_votes_2
