,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,How does Gay Marrige harm YOU?,gay marriage,support,"I want to know how gay marrige harms heterosexuals. And I want some solid evidence. I don't care what your moral, or religious beliefs are, because that is irrelevant. I don't care about your personal opinion about gays. I want to know EXACTLY how you are harmed, and I want it backed up. Doing the electric slide around logic by using arguments like ""if we allow gays to marry, then whats to say that we won't let people marry dogs?"". Well, that logic could be applied to any law. In fact, why let anyone have rights at all? And if you're going to throw around statements like ""marrige is between 1 man and 1 woman"", then I want to see evidence of this. I can't see any anywhere.
So again, where is your solid, logical evidence for your views?",0,1,topic_stance_votes_1
1,How does Gay Marrige harm YOU?,gay marriage,attack,"Speaking only for myself of course, I don't think I've seen anyone claim they themselves would be harmed, or that individuals would be harmed, by gay people.",1,2,topic_stance_votes_2
2,How does Gay Marrige harm YOU?,gay marriage,attack,So what rational reason would there be to deny them the right to marry the person they love?,2,3,topic_stance_votes_1
3,How does Gay Marrige harm YOU?,gay marriage,attack,"They can ""marry"" whomever they love. Benefits though, are a different matter. The state and society views marriage as an opposite-sex institution. It's not about anyone getting harmed; no one said it was.",3,4,topic_stance_votes_2
4,How does Gay Marrige harm YOU?,gay marriage,attack,Yes they have. Are you denying that conservatives and religious-right advocates have not been trying to ban gay marrige?,2,5,topic_stance_votes_1
5,How does Gay Marrige harm YOU?,gay marriage,attack,Of course they have been. They are following the Bible which says homosexuality is a sin.,5,6,topic_stance_votes_2
6,How does Gay Marrige harm YOU?,gay marriage,attack,"Then banning same-sex marrige would be wrong, and there would be no reason for it. Unless it harms someone, a law should never be passed. If no one is getting harmed, then what is the point of the law. That is the point of all laws, and you can't abuse a majority power by forcing minorities to abide by your own morals with no base for them, just because you can. And marrige is between two human beings who love each other. Their race, sex, or religious beliefs shouldn't matter. The whole ""opposite sex"" thing was just fabricated by conservatives. Its only when the progressives and liberals came into power when this dogma was questioned.",4,7,topic_stance_votes_1
7,How does Gay Marrige harm YOU?,gay marriage,attack,"The bible also says that I should be killed for my haircut. The bible said that I should be able to own Mexicans as slaves. The bible says that we should kill all women if they have sex before they marry. Should we make these laws too? The bible has nothing to do with laws. If you don't like gay marrige, don't marry someone your own sex. Simple as that.",6,8,topic_stance_votes_1
8,How does Gay Marrige harm YOU?,gay marriage,attack,"Prove it, shooterandproud.",8,9,topic_stance_votes_2
9,How does Gay Marrige harm YOU?,gay marriage,attack,"A law baning same-sex marriage, then I'd agree. But the reason same-sex marriage doesn't exist (other than Mass.) is not because of law; after all, there are plenty of states that don't have same-sex marriage with no law that outlaws it. You're barking up the wrong tree--this is a cultural issue more than a legal one.",7,10,topic_stance_votes_2
10,How does Gay Marrige harm YOU?,gay marriage,attack,What the Bible says sure as well better be irrelevant in the writing of our laws. Our government was designed to be separate from religion to protect all who would worship. Our laws need solid secular reasoning or we become a theocratic state.,6,11,topic_stance_votes_1
11,How does Gay Marrige harm YOU?,gay marriage,attack,"This is getting tiresome.
http://www.humanistsofutah.org/2002/...ian_10-02.html
This should cover most of it.",9,12,topic_stance_votes_1
12,How does Gay Marrige harm YOU?,gay marriage,attack,"You're right, I worded that wrong. I meant that it should not be banned. 
If it is our culture to deny some rights to some sentient, human, American citizens, but give them to another, then we live in a twisted society. Gay marrige will eventually be legalized, I know that. The Nazis and the KKK eventually fell, so will this. Most people stop condoning discrimination eventually, however my goal is to speed up the process of moving forward.
And for all you bible thumpers out there, let me remind you that the KKK was a Christian organization.",10,13,topic_stance_votes_1
13,How does Gay Marrige harm YOU?,gay marriage,attack,"States with laws banning same-sex marriage: 43
States without laws banning same-sex marriage: 5
States where same-sex marriage is legal (but not federally recognized).: 1
I wouldn't call that ""plenty"".
Source",10,14,topic_stance_votes_1
14,How does Gay Marrige harm YOU?,gay marriage,support,"VT cruiser tried to make a thread about this. 
A nation that devouts itself a religion can be seen today: Iran, pre-invasion Afghanistan, and a degree, Saudi Arabia. 
VT didn't like his idea being compared to some of the most fascist, terroristic and inhuman gov'ts.",11,15,topic_stance_votes_1
15,How does Gay Marrige harm YOU?,gay marriage,attack,BUt it comes down to gay people being harmed by not being allowed to marry. Any time a group is excluded because of someone elses religious beliefs that group is harmed.,4,16,topic_stance_votes_1
