,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Do gay people decide to be gay or are they born gay?,gay marriage,support,Do gay people decide to be gay or are they born gay?,0,1,topic_stance_votes_1
1,Do gay people decide to be gay or are they born gay?,gay marriage,support,"Well, I did not choose to be heterosexual, I was born heterosexual.
I can not see why it should be different for Gay people",1,2,topic_stance_votes_1
2,Do gay people decide to be gay or are they born gay?,gay marriage,support,"Simple and insightful, I agree.
I wonder what EZ thinks?",2,3,topic_stance_votes_1
3,Do gay people decide to be gay or are they born gay?,gay marriage,attack,I think dropping trou for illicit gay sex has nothing to do with genes. It's a deliberate behavior.,3,4,topic_stance_votes_2
4,Do gay people decide to be gay or are they born gay?,gay marriage,attack,"Oh OK, I get it!
It’s not being gay that is a sin; it’s the gay sex that is a sin.
You are such an expert on gay people!
How about this EZ, what if two gay men live together, love each other, sleep in separate beds, never have sex but maybe give each other a little French kiss now and then?
Is that OK, EZ?
Here let me answer that question for you since your famous for avoiding the issue.
Why yes Mr. Monster that is perfectly fine and a totally realistic thing to ask people to do!
I know why you’re avoiding answering the topic question directly.
Believe me I am going to rip you a new one regardless (figuratively speaking.)
You may as well let it all out.
You know you want to.
So go ahead, make my day.",4,5,topic_stance_votes_1
5,Do gay people decide to be gay or are they born gay?,gay marriage,support,"I imagine that would come under 'unnatural lusts' and possibly 'sexual immorality' for EZ.
As for the question: I imagine most people who are gay are born gay and most straight people are born straight. No doubt nurture can have some effect though, and I'm open to the idea most people are born bisexual and it is a tendency that is emphasised as we learn what sort of people we find attractive and impose some order on it. Just like sporty people and intellectual people may have genetic differences, but the difference is emphasised as they play to their strengths.",5,6,topic_stance_votes_1
6,Do gay people decide to be gay or are they born gay?,gay marriage,support,Same here. I think there may be a few on the fence that choose but most of them are born with the compulsions they have.,2,7,topic_stance_votes_1
7,Do gay people decide to be gay or are they born gay?,gay marriage,attack,"You're such a scientist......................................... .....................NOT. 
You should call a locksmith to see if he can open that closed mind of yours.",4,8,topic_stance_votes_1
8,Do gay people decide to be gay or are they born gay?,gay marriage,support,"I think there are probably more on the fence than there are those who are purely homosexual.
I think many who are 'on the fence' become homophobes to try to deny their idea and attractions. This is characterised by a lot of verbal condemnation with an equal amount of fascination about the sexual activities of Gays.
Their big verbal condemnation is more to convince themselves than to convince others.",7,9,topic_stance_votes_1
9,Do gay people decide to be gay or are they born gay?,gay marriage,support,"I'm not sure ""on the fence"" is a particularly pleasant way to describe people who are bisexual. :) I've not met anyone who chooses to be gay, I've met a lot of people who are gay and didn't choose. There is, if course, a minority that tries to condition its sexuality one way or the other, most notably closet gays, though there may be a tiny number going to other way.",9,10,topic_stance_votes_1
10,Do gay people decide to be gay or are they born gay?,gay marriage,support,Does that mean they don't exist? I think there are probably some that are naturally born with a bisexual disposition that choose to go against their biological gender for one reason or another.,10,11,topic_stance_votes_1
11,Do gay people decide to be gay or are they born gay?,gay marriage,attack,"Nice dodge, EZ. We're not talking about behaviour, we're talking instead about sexual orientation/inclination and how it comes about. Did you choose your sexual orientation, EZ? I certainly didn't and I know of no one who did. When I was about five years of age, I discovered that I was somehow attracted to little girls my age. I didn't know why, and I had no concept of sexuality. 
It's unclear as to what factors determine one's sexual orientation. It could be genetic. Researchers have also found that the sexual orientation of laboratory mice can be engineered by altering the proportions of various hormones in the mother's bloodstream during pregnancy. In any case, one's sexual orientation does not appear to be a deliberate choice. 
With regard to ""illicit"" gay sex, that seems to be one of the goblins which you carry around with you. You know, EZ, if gays had the right to marry, their sexuality wouldn't be ""illicit"", would it? ""Illicit"" in terms of the Bible? Perhaps, but who cares about the sexual prohibitions of a backwater ANE society of 2000 to 2500 years ago?",4,12,topic_stance_votes_1
12,Do gay people decide to be gay or are they born gay?,gay marriage,support,"EZ, I’m sorry.
I didn’t mean to frighten you away.
Come on back and give us a fight.",12,13,topic_stance_votes_1
