,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Does gun possession justifies itself?,gun control,support,Currently I am doing a survey for public opinons regarding this topic for my research paper. Could you guys please give me your 2 cents on this issue? I'd really appreciate it if you guys could state whether or not you own a gun or if you're somehow an expert in this field as i would love to do a follow-up e-mail interview. Thanks.,0,1,topic_stance_votes_1
1,Does gun possession justifies itself?,gun control,support,"You would probably get much more out of it if you posted a question here, let people reply, then carry on in a similar way asking questions (even related to replies) and getting reponses.",1,2,topic_stance_votes_1
2,Does gun possession justifies itself?,gun control,attack,"I don't consider myself an expert on firearms, but I do own them. Likewise, I do not consider myself an expert on crime/gun stats, but I have a lot of first hand knowledge of gun crime. I'll try to answer your questions, and I don't mind if you e-mail me. THe address is haskman@earthlink.net. Please use a subject line, however, like ""4forums gun survey"" or something like that. I get a lot of spam that I delete if I can't tell what it is right away. It also may take a day or to to respond.",2,3,topic_stance_votes_2
3,Does gun possession justifies itself?,gun control,support,Everyone is welcome to give their opinion on public gun possession here-whether you're for or against gun control (or does gun possession justifies itself) and please state the reasons as well. I would really appreciate it if you guys could include some extra informations regarding this issue.,2,4,topic_stance_votes_1
4,Does gun possession justifies itself?,gun control,support,But just try and remove them from those that think we do and you will have a war on your hands. It's too bad we didn't become more like Canada is respect to gun ownership. A lot more people would be alive today and others not sitting in prison for crimes they commited.,4,5,topic_stance_votes_1
5,Does gun possession justifies itself?,gun control,attack,"Mr Sculder, I would point out to you, gun or firearm possession, constitutionally does not have to be justified.",4,6,topic_stance_votes_2
6,Does gun possession justifies itself?,gun control,attack,Just how do you arrive at that conclusion?,5,7,topic_stance_votes_2
7,Does gun possession justifies itself?,gun control,attack,Aww... The poor widdle babies. The evil gun just jumped into their hands and turned them into mindless killing machines.,5,8,topic_stance_votes_2
8,Does gun possession justifies itself?,gun control,attack,And the loss to society because people used guns instead of an alternate weapon is?,5,9,topic_stance_votes_2
9,Does gun possession justifies itself?,gun control,attack,"Excuse me. I live on the Candian border (takes 45 min. to cross w/good traffic). I know many Canadians who did not register their guns and don't intend too. AND:Their crime rates , like those of Australia and England, has skyrocketed.
------------------
Also, I sincerely doubt their legal system is much different than ours. Illegal possession of a gun in my state is SUPPOSED to be a flat 7 year term. It is generally the first think in a plea bargain. Horrendous. If the person gets off on the plea, then they can't go after the gun charge (it was bargained away) I would rather see a felon (yes, illegal guns = felony) in jail than out, no matter what the other charges are.
------------------",5,10,topic_stance_votes_2
10,Does gun possession justifies itself?,gun control,attack,"I live in Canada, and crime rates have not skyrocketed where I live since gun control. 
As for any increase in crime in other areas, to correlate gun registration to rising crime at least in Canada is very faulty. Canada does not have a strong tradition of homeowners wanting guns for homeprotection reasons. Most criminals in Canada when doing a B&E or stealing cars even 10+ years ago were/are not concerned about the person they are robbing is going to have a gun ready to protect themselves.",10,11,topic_stance_votes_1
11,Does gun possession justifies itself?,gun control,attack,"Did I miss something here? 
Canadians never had a desire to have guns for self protection? I know many who did and currently still do. [It would be a sorry robber who met one of these men.] Hence, due to the lack of desire for self protection, your criminals never need to worry about crossing a homowner with a gun? Does this hold true for the entire country? I doubt it.
What do Canadians protect themselves with? Or do those you know just accept being robbed or broken into as ""the natural order of things""? You must have excellent insurance for these things.
[BTW, you laws are so tight, my husband and his target pistol team stopped taking their .22 target pistols (low end value $750) across the border to have matches w/Canadians. And, the Canadians are afraid they won't be able to get theirs back over the boirder...hence, they have ""postal matches"" : shoot at home, mail the scores to the other team. The opinions of these men, whom I have known for YEARS, are highly different than yours. ]
Just for my curiosity, do you own a gun? Or have you ever even held/shot one?",11,12,topic_stance_votes_2
12,Does gun possession justifies itself?,gun control,support,"To lord tammerlain: 
I am also seriously worried about the movement of several US Customs Plaza to the Canadian side of the bridges. I have a niece who is a US Customs officer . She will not be allowed her US legal right: her gun, as she will cross onto Canadian soil. [I think her ""protection"" will be a billy club.] She is not happy over it and is thinking about asking for a transfer to where she will not be on Canadian soil.",12,13,topic_stance_votes_2
